,Timestamp,Emotion,Emotion_Value
237,2021-11-20 21:04:41.428860,not paying attention,-1
238,2021-11-20 21:04:41.644786,not paying attention,-1
239,2021-11-20 21:04:41.939497,not paying attention,-1
240,2021-11-20 21:04:42.127937,not paying attention,-1
241,2021-11-20 21:04:42.389372,not paying attention,-1
242,2021-11-20 21:04:42.840773,neutral,0.999
243,2021-11-20 21:04:43.237851,neutral,0.997
244,2021-11-20 21:04:43.653801,neutral,1
245,2021-11-20 21:04:44.117487,neutral,0.997
246,2021-11-20 21:04:44.544314,neutral,0.961
247,2021-11-20 21:04:44.973045,neutral,0.873
248,2021-11-20 21:04:45.169244,not paying attention,-1
249,2021-11-20 21:04:45.414542,not paying attention,-1
250,2021-11-20 21:04:45.614866,not paying attention,-1
251,2021-11-20 21:04:45.883088,not paying attention,-1
252,2021-11-20 21:04:46.076828,not paying attention,-1
253,2021-11-20 21:04:46.266934,not paying attention,-1
254,2021-11-20 21:04:46.571216,not paying attention,-1
255,2021-11-20 21:04:46.764286,not paying attention,-1
256,2021-11-20 21:04:46.959579,not paying attention,-1
257,2021-11-20 21:04:47.148484,not paying attention,-1
258,2021-11-20 21:04:47.340332,not paying attention,-1
259,2021-11-20 21:04:47.531193,not paying attention,-1
260,2021-11-20 21:04:47.815426,not paying attention,-1
261,2021-11-20 21:04:48.008853,not paying attention,-1
262,2021-11-20 21:04:48.229650,not paying attention,-1
263,2021-11-20 21:04:48.479492,not paying attention,-1
264,2021-11-20 21:04:48.669501,not paying attention,-1
265,2021-11-20 21:04:48.950863,not paying attention,-1
266,2021-11-20 21:04:49.145112,not paying attention,-1
267,2021-11-20 21:04:49.336234,not paying attention,-1
268,2021-11-20 21:04:49.548157,not paying attention,-1
269,2021-11-20 21:04:49.738036,not paying attention,-1
270,2021-11-20 21:04:50.002394,not paying attention,-1
271,2021-11-20 21:04:50.203507,not paying attention,-1
272,2021-11-20 21:04:50.678655,neutral,0.994
273,2021-11-20 21:04:51.124636,neutral,0.999
274,2021-11-20 21:04:51.540283,neutral,0.992
275,2021-11-20 21:04:51.777894,not paying attention,-1
276,2021-11-20 21:04:51.951491,not paying attention,-1
277,2021-11-20 21:04:52.130117,not paying attention,-1
278,2021-11-20 21:04:52.325140,not paying attention,-1
279,2021-11-20 21:04:52.507963,not paying attention,-1
280,2021-11-20 21:04:52.694098,not paying attention,-1
281,2021-11-20 21:04:52.895249,not paying attention,-1
282,2021-11-20 21:04:53.117915,not paying attention,-1
283,2021-11-20 21:04:53.296975,not paying attention,-1
284,2021-11-20 21:04:53.514386,not paying attention,-1
285,2021-11-20 21:04:53.711349,not paying attention,-1
286,2021-11-20 21:04:53.914796,not paying attention,-1
287,2021-11-20 21:04:54.229352,not paying attention,-1
288,2021-11-20 21:04:54.426710,not paying attention,-1
289,2021-11-20 21:04:54.612390,not paying attention,-1
290,2021-11-20 21:04:54.857973,not paying attention,-1
291,2021-11-20 21:04:55.037000,not paying attention,-1
292,2021-11-20 21:04:55.223415,not paying attention,-1
293,2021-11-20 21:04:55.458689,not paying attention,-1
294,2021-11-20 21:04:55.640138,not paying attention,-1
295,2021-11-20 21:04:55.840577,not paying attention,-1
296,2021-11-20 21:04:56.039402,not paying attention,-1
297,2021-11-20 21:04:56.236006,not paying attention,-1
298,2021-11-20 21:04:56.433049,not paying attention,-1
299,2021-11-20 21:04:56.647519,not paying attention,-1
300,2021-11-20 21:04:56.855296,not paying attention,-1
301,2021-11-20 21:04:57.045650,not paying attention,-1
302,2021-11-20 21:04:57.235496,not paying attention,-1
303,2021-11-20 21:04:57.424656,not paying attention,-1
304,2021-11-20 21:04:57.618011,not paying attention,-1
305,2021-11-20 21:04:57.851632,not paying attention,-1
306,2021-11-20 21:04:58.241891,neutral,0.981
